"sample-id"	"extraction-id"	"dna-extraction-batch"	"nanodrop-dna-concentration-ng-per-uL"	"A260-A280"	"A230-A260"	"DNA-volume-sent-for-library-prep-in-uL"	"water-volume-added-to-dilute-DNA-in-uL"	"DNA-concentration-sent-to-Dalhousie-nanodrop-ng-per-uL"	"sequencing-batch"	"plate-batch"	"sample-type"	"country"	"replicate"	"read_depth_afterDADA2"	"read-depth-compared-to-blanks"	"read_depth_afterTaxaRemoval"	"bead-basher-used"
"D208"	"CD157U.4"	"14"	"83.888000000000005"	"1.849"	"2.0710000000000002"	"15"	"0"	"83.888000000000005"	"1"	"3"	"stool"	"Denmark"	"no"	8998	"below"	8998	"old"
"D209"	"CD159G.2"	"14"	"38.880000000000003"	"1.8859999999999999"	"1.8320000000000001"	"15"	"0"	"38.880000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	43728	"above"	43728	"old"
"D21"	"CD014Y.2"	"9"	"23.734999999999999"	"2.1760000000000002"	"1.762"	"15"	"0"	"23.734999999999999"	"1"	"1"	"stool"	"Denmark"	"no"	36776	"above"	36776	"old"
"D210"	"CD159G.3"	"14"	"35.722000000000001"	"1.87"	"1.8220000000000001"	"15"	"0"	"35.722000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	22044	"above"	22044	"old"
"D211"	"CD159G.4"	"14"	"182.285"	"1.881"	"2.14"	"15"	"0"	"182.285"	"1"	"3"	"stool"	"Denmark"	"no"	13104	"above"	13104	"old"
"D212"	"CD168E.2"	"14"	"110.498"	"1.891"	"2.1880000000000002"	"15"	"0"	"110.498"	"1"	"3"	"stool"	"Denmark"	"no"	9930	"below"	9930	"old"
"D213"	"CD168E.3"	"14"	"35.502000000000002"	"1.895"	"1.95"	"15"	"0"	"35.502000000000002"	"1"	"3"	"stool"	"Denmark"	"no"	29721	"above"	29708	"old"
"D214"	"CD168E.4"	"14"	"94.274000000000001"	"1.8260000000000001"	"2.1110000000000002"	"15"	"0"	"94.274000000000015"	"1"	"3"	"stool"	"Denmark"	"no"	52456	"above"	52456	"old"
"D215"	"CD170Z.2"	"14"	"57.518000000000001"	"1.8640000000000001"	"1.9570000000000001"	"15"	"0"	"57.518000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	17611	"above"	17611	"old"
"D216"	"CD170Z.3"	"14"	"152.93299999999999"	"1.8759999999999999"	"2.1379999999999999"	"15"	"0"	"152.93299999999999"	"1"	"3"	"stool"	"Denmark"	"no"	6434	"below"	6434	"old"
"D217"	"CD170Z.4"	"14"	"231.63900000000001"	"1.88"	"2.036"	"15"	"0"	"231.63900000000001"	"1"	"3"	"stool"	"Denmark"	"no"	10523	"below"	10523	"old"
"D218"	"Blank_14.2"	"14"	"1.99"	"1.8009999999999999"	"0.33200000000000002"	"15"	"0"	"1.99"	"1"	"3"	"blank"	""	"no"	301	"below"	285	"old"
"D219"	"CD171S.2"	"14"	"95.168000000000006"	"1.883"	"2.0550000000000002"	"15"	"0"	"95.167999999999992"	"1"	"3"	"stool"	"Denmark"	"no"	33322	"above"	33322	"old"
"D22"	"CD014Y.3"	"9"	"43.179000000000002"	"2.052"	"1.909"	"15"	"0"	"43.179000000000002"	"1"	"1"	"stool"	"Denmark"	"no"	27501	"above"	27501	"old"
"D220"	"CD171S.3"	"14"	"43.488999999999997"	"1.8779999999999999"	"1.909"	"15"	"0"	"43.488999999999997"	"1"	"3"	"stool"	"Denmark"	"no"	18405	"above"	18405	"old"
"D221"	"CD171S.4"	"14"	"192.74799999999999"	"1.865"	"1.972"	"15"	"0"	"192.74799999999999"	"1"	"3"	"stool"	"Denmark"	"no"	14724	"above"	14724	"old"
"D222"	"CD172L.2"	"14"	"124.61199999999999"	"1.857"	"2.044"	"15"	"0"	"124.61199999999999"	"1"	"3"	"stool"	"Denmark"	"no"	14213	"above"	14213	"old"
"D223"	"CD172L.3"	"14"	"169.02600000000001"	"1.8819999999999999"	"2.0990000000000002"	"15"	"0"	"169.02600000000001"	"1"	"3"	"stool"	"Denmark"	"no"	9780	"below"	9780	"old"
"D224"	"CD172L.4"	"14"	"127.273"	"1.8759999999999999"	"2.024"	"15"	"0"	"127.273"	"1"	"3"	"stool"	"Denmark"	"no"	17736	"above"	17736	"old"
"D225"	"CD176J.2"	"14"	"7.883"	"1.718"	"0.98099999999999998"	"15"	"0"	"7.883"	"1"	"3"	"stool"	"Denmark"	"no"	42812	"above"	42812	"old"
"D226"	"CD176J.3"	"14"	"51.651000000000003"	"1.9370000000000001"	"1.952"	"15"	"0"	"51.651000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	21629	"above"	21629	"old"
"D227"	"CD176J.4"	"14"	"102.91500000000001"	"1.8560000000000001"	"2.0049999999999999"	"15"	"0"	"102.91500000000001"	"1"	"3"	"stool"	"Denmark"	"no"	52370	"above"	52370	"old"
"D228"	"CD177C.2"	"14"	"108.688"	"1.9219999999999999"	"2.0819999999999999"	"15"	"0"	"108.688"	"1"	"3"	"stool"	"Denmark"	"no"	13867	"above"	13867	"old"
"D229"	"CD177C.3"	"14"	"72.076999999999998"	"1.9"	"2.0409999999999999"	"15"	"0"	"72.076999999999998"	"1"	"3"	"stool"	"Denmark"	"no"	26353	"above"	26353	"old"
"D23"	"CD014Y.4"	"9"	"1.8340000000000001"	"-1.823"	"0.33600000000000002"	"15"	"0"	"1.8340000000000001"	"1"	"1"	"stool"	"Denmark"	"no"	15247	"above"	11175	"old"
"D230"	"CD177C.4"	"14"	"195.649"	"1.8759999999999999"	"1.9990000000000001"	"15"	"0"	"195.649"	"1"	"3"	"stool"	"Denmark"	"no"	9526	"below"	9526	"old"
"D231"	"CD182C.2"	"14"	"139.19900000000001"	"1.9079999999999999"	"2.1240000000000001"	"15"	"0"	"139.19900000000001"	"1"	"3"	"stool"	"Denmark"	"no"	14668	"above"	14666	"old"
"D232"	"CD182C.3"	"14"	"144.81200000000001"	"1.91"	"2.173"	"15"	"0"	"144.81200000000001"	"1"	"3"	"stool"	"Denmark"	"no"	32572	"above"	32572	"old"
"D233"	"CD182C.4"	"14"	"74.852000000000004"	"1.883"	"2.0710000000000002"	"15"	"0"	"74.852000000000004"	"1"	"3"	"stool"	"Denmark"	"no"	19850	"above"	19850	"old"
"D234"	"CD183V.2"	"14"	"48.8"	"1.883"	"1.9"	"15"	"0"	"48.8"	"1"	"3"	"stool"	"Denmark"	"no"	31308	"above"	31308	"old"
"D235"	"CD183V.3"	"14"	"37.56"	"1.87"	"1.7450000000000001"	"15"	"0"	"37.560000000000009"	"1"	"3"	"stool"	"Denmark"	"no"	24702	"above"	24702	"old"
"D236"	"CD183V.4"	"14"	"27.635999999999999"	"1.879"	"1.42"	"15"	"0"	"27.635999999999999"	"1"	"3"	"stool"	"Denmark"	"no"	10891	"below"	10891	"old"
"D237"	"CD188M.2"	"14"	"60.561999999999998"	"1.962"	"1.9039999999999999"	"15"	"0"	"60.561999999999998"	"1"	"3"	"stool"	"Denmark"	"no"	13210	"above"	13210	"old"
"D238"	"CD188M.3"	"14"	"80.951999999999998"	"1.9359999999999999"	"2.0990000000000002"	"15"	"0"	"80.951999999999998"	"1"	"3"	"stool"	"Denmark"	"no"	24934	"above"	24934	"old"
"D239"	"CD188M.4"	"14"	"8.33"	"2.371"	"0.93"	"15"	"0"	"8.33"	"1"	"3"	"stool"	"Denmark"	"no"	27469	"above"	27457	"old"
"D24"	"CD018W.2"	"9"	"102.035"	"1.96"	"2.1920000000000002"	"15"	"0"	"102.035"	"1"	"1"	"stool"	"Denmark"	"no"	13856	"above"	13856	"old"
"D240"	"CD189F.2"	"14"	"160.58500000000001"	"1.9119999999999999"	"2.1890000000000001"	"15"	"0"	"160.58500000000001"	"1"	"3"	"stool"	"Denmark"	"no"	202	"below"	202	"old"
"D241"	"CD189F.3"	"14"	"45.241"	"1.9179999999999999"	"2.0219999999999998"	"15"	"0"	"45.241"	"1"	"3"	"stool"	"Denmark"	"no"	20931	"above"	20931	"old"
"D242"	"CD189F.4"	"14"	"92.238"	"1.8959999999999999"	"1.931"	"15"	"0"	"92.238"	"1"	"3"	"stool"	"Denmark"	"no"	10668	"below"	10668	"old"
"D243"	"CD190H.2"	"14"	"35.448"	"1.9239999999999999"	"1.893"	"15"	"0"	"35.448"	"1"	"3"	"stool"	"Denmark"	"no"	38646	"above"	38646	"old"
"D244"	"CD190H.3"	"14"	"83.385000000000005"	"1.944"	"2.0840000000000001"	"15"	"0"	"83.385000000000005"	"1"	"3"	"stool"	"Denmark"	"no"	18012	"above"	18012	"old"
"D245"	"CD190H.4"	"14"	"23.396000000000001"	"1.9950000000000001"	"1.6579999999999999"	"15"	"0"	"23.396000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	24240	"above"	24228	"old"
"D246"	"Mock_15.1"	"15"	"2.927"	"1.865"	"0.83499999999999996"	"15"	"0"	"2.927"	"1"	"3"	"mock"	""	"no"	25378	"above"	25378	"old"
"D247"	"CD191A.2"	"15"	"8.32"	"1.863"	"1.542"	"15"	"0"	"8.32"	"1"	"3"	"stool"	"Denmark"	"no"	69237	"above"	69237	"old"
"D248"	"CD191A.3"	"15"	"36.121000000000002"	"1.8340000000000001"	"2.1259999999999999"	"15"	"0"	"36.121000000000002"	"1"	"3"	"stool"	"Denmark"	"no"	75724	"above"	75724	"old"
"D249"	"CD191A.4"	"15"	"69.650000000000006"	"1.863"	"2.141"	"15"	"0"	"69.650000000000006"	"1"	"3"	"stool"	"Denmark"	"no"	33972	"above"	33972	"old"
"D25"	"CD018W.3"	"9"	"103.577"	"1.9379999999999999"	"2.1309999999999998"	"15"	"0"	"103.577"	"1"	"1"	"stool"	"Denmark"	"no"	19484	"above"	19484	"old"
"D250"	"CD199W.2"	"15"	"79.099999999999994"	"1.89"	"2.0070000000000001"	"15"	"0"	"79.099999999999994"	"1"	"3"	"stool"	"Denmark"	"no"	22840	"above"	22840	"old"
"D251"	"CD199W.3"	"15"	"60.887999999999998"	"1.891"	"2.0840000000000001"	"15"	"0"	"60.887999999999998"	"1"	"3"	"stool"	"Denmark"	"no"	16616	"above"	16616	"old"
"D252"	"CD199W.4"	"15"	"74.263000000000005"	"1.89"	"2.117"	"15"	"0"	"74.263000000000005"	"1"	"3"	"stool"	"Denmark"	"no"	26774	"above"	26774	"old"
"D253"	"CD201E.2"	"15"	"47.920999999999999"	"1.8879999999999999"	"1.921"	"15"	"0"	"47.920999999999999"	"1"	"3"	"stool"	"Denmark"	"no"	34801	"above"	34801	"old"
"D254"	"CD201E.3"	"15"	"70.206999999999994"	"1.871"	"2.161"	"15"	"0"	"70.207000000000008"	"1"	"3"	"stool"	"Denmark"	"no"	20627	"above"	20627	"old"
"D255"	"CD201E.4"	"15"	"143.67500000000001"	"1.895"	"2.1789999999999998"	"15"	"0"	"143.67500000000001"	"1"	"3"	"stool"	"Denmark"	"no"	13757	"above"	13757	"old"
"D256"	"CD206V.2"	"15"	"79.308000000000007"	"1.907"	"2.1619999999999999"	"15"	"0"	"79.308000000000007"	"1"	"3"	"stool"	"Denmark"	"no"	16807	"above"	16807	"old"
"D257"	"CD206V.3"	"15"	"128.56100000000001"	"1.9039999999999999"	"2.1859999999999999"	"15"	"0"	"128.56100000000001"	"1"	"3"	"stool"	"Denmark"	"no"	21097	"above"	21097	"old"
"D258"	"CD206V.4"	"15"	"150.77600000000001"	"1.889"	"2.0419999999999998"	"15"	"0"	"150.77600000000001"	"1"	"3"	"stool"	"Denmark"	"no"	618	"below"	618	"old"
"D259"	"CD207O.2"	"15"	"113.90900000000001"	"1.901"	"2.1880000000000002"	"15"	"0"	"113.90900000000001"	"1"	"3"	"stool"	"Denmark"	"no"	3784	"below"	3784	"old"
"D26"	"CD018W.4"	"9"	"170.67"	"1.885"	"1.9930000000000001"	"15"	"0"	"170.67"	"1"	"1"	"stool"	"Denmark"	"no"	11282	"below"	11282	"old"
"D260"	"CD207O.3"	"15"	"130.73099999999999"	"1.909"	"2.1339999999999999"	"15"	"0"	"130.73099999999999"	"1"	"3"	"stool"	"Denmark"	"no"	8038	"below"	8038	"old"
"D261"	"CD207O.4"	"15"	"27.859000000000002"	"1.8640000000000001"	"1.4279999999999999"	"15"	"0"	"27.859000000000002"	"1"	"3"	"stool"	"Denmark"	"no"	27003	"above"	27003	"old"
"D262"	"CD210C.2"	"15"	"130.892"	"1.9"	"2.161"	"15"	"0"	"130.892"	"1"	"3"	"stool"	"Denmark"	"no"	17377	"above"	17377	"old"
"D263"	"CD210C.3"	"15"	"207.56399999999999"	"1.897"	"2.2130000000000001"	"15"	"0"	"207.56399999999999"	"1"	"3"	"stool"	"Denmark"	"no"	12326	"above"	12326	"old"
"D264"	"CD210C.4"	"15"	"135.92099999999999"	"1.8740000000000001"	"2.1859999999999999"	"15"	"0"	"135.92099999999999"	"1"	"3"	"stool"	"Denmark"	"no"	52484	"above"	52484	"old"
"D265"	"Blank_15.2"	"15"	"1.19"	"1.37"	"0.30099999999999999"	"15"	"0"	"1.19"	"1"	"3"	"blank"	""	"no"	13	"below"	13	"old"
"D266"	"CD211V.2"	"15"	"113.208"	"1.891"	"2.1579999999999999"	"15"	"0"	"113.208"	"1"	"3"	"stool"	"Denmark"	"no"	13125	"above"	13125	"old"
"D267"	"CD211V.3"	"15"	"67.873999999999995"	"1.921"	"2.028"	"15"	"0"	"67.873999999999995"	"1"	"3"	"stool"	"Denmark"	"no"	19957	"above"	19957	"old"
"D268"	"CD211V.4"	"15"	"117.996"	"1.9370000000000001"	"2.153"	"15"	"0"	"117.996"	"1"	"3"	"stool"	"Denmark"	"no"	13433	"above"	13431	"old"
"D269"	"CD216M.2"	"15"	"115.07"	"1.9330000000000001"	"2.1989999999999998"	"15"	"0"	"115.07"	"1"	"3"	"stool"	"Denmark"	"no"	5326	"below"	5324	"old"
"D27"	"CD025I.2"	"9"	"13.337"	"2.738"	"1.095"	"15"	"0"	"13.337"	"1"	"1"	"stool"	"Denmark"	"no"	17811	"above"	17811	"old"
"D270"	"CD216M.3"	"15"	"87.61"	"1.94"	"2.089"	"15"	"0"	"87.61"	"1"	"3"	"stool"	"Denmark"	"no"	6602	"below"	6602	"old"
"D271"	"CD216M.4"	"15"	"84.138999999999996"	"1.9019999999999999"	"2.0350000000000001"	"15"	"0"	"84.138999999999996"	"1"	"3"	"stool"	"Denmark"	"no"	28979	"above"	28958	"old"
"D272"	"CD223Y.2"	"15"	"133.12100000000001"	"1.9219999999999999"	"2.1970000000000001"	"15"	"0"	"133.12100000000001"	"1"	"3"	"stool"	"Denmark"	"no"	19460	"above"	19443	"old"
"D273"	"CD223Y.3"	"15"	"64.902000000000001"	"1.9610000000000001"	"2.149"	"15"	"0"	"64.902000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	25648	"above"	25646	"old"
"D274"	"CD223Y.4"	"15"	"91.606999999999999"	"1.9470000000000001"	"2.117"	"15"	"0"	"91.606999999999999"	"1"	"3"	"stool"	"Denmark"	"no"	47023	"above"	47023	"old"
"D275"	"CD224R.2"	"15"	"160.262"	"1.905"	"2.2370000000000001"	"15"	"0"	"160.262"	"1"	"3"	"stool"	"Denmark"	"no"	29757	"above"	29757	"old"
"D276"	"CD224R.3"	"15"	"117.22199999999999"	"1.94"	"2.1349999999999998"	"15"	"0"	"117.22199999999999"	"1"	"3"	"stool"	"Denmark"	"no"	11421	"below"	11421	"old"
"D277"	"CD224R.4"	"15"	"135.911"	"1.919"	"2.1160000000000001"	"15"	"0"	"135.911"	"1"	"3"	"stool"	"Denmark"	"no"	17252	"above"	17252	"old"
"D278"	"CD238G.2"	"15"	"47.37"	"1.944"	"2.0950000000000002"	"15"	"0"	"47.37"	"1"	"3"	"stool"	"Denmark"	"no"	47943	"above"	47943	"old"
"D279"	"CD238G.3"	"15"	"154.291"	"1.925"	"2.2029999999999998"	"15"	"0"	"154.291"	"1"	"3"	"stool"	"Denmark"	"no"	12202	"above"	12202	"old"
"D28"	"CD025I.3"	"9"	"15.794"	"2.52"	"1.2490000000000001"	"15"	"0"	"15.794"	"1"	"1"	"stool"	"Denmark"	"no"	4533	"below"	4533	"old"
"D280"	"CD238G.4"	"15"	"184.953"	"1.921"	"2.165"	"1.6220337058604077"	"13.377966294139592"	"20"	"1"	"3"	"stool"	"Denmark"	"yes"	28951	"above"	28951	"old"
"D281"	"CD245S.2"	"15"	"37.305999999999997"	"1.923"	"1.978"	"15"	"0"	"37.305999999999997"	"1"	"3"	"stool"	"Denmark"	"no"	123521	"above"	123521	"old"
"D282"	"CD245S.3"	"15"	"62.793999999999997"	"1.913"	"2.19"	"15"	"0"	"62.793999999999997"	"1"	"3"	"stool"	"Denmark"	"no"	46076	"above"	46076	"old"
"D283"	"CD245S.4"	"15"	"63.316000000000003"	"1.9610000000000001"	"2.1019999999999999"	"15"	"0"	"63.316000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	37191	"above"	37191	"old"
"D284"	"CD250S.2"	"15"	"53.49"	"1.96"	"2.0219999999999998"	"15"	"0"	"53.49"	"1"	"3"	"stool"	"Denmark"	"no"	82115	"above"	82115	"old"
"D285"	"CD250S.3"	"15"	"186.86099999999999"	"1.899"	"2.097"	"15"	"0"	"186.86099999999999"	"1"	"3"	"stool"	"Denmark"	"no"	36037	"above"	36037	"old"
"D286"	"CD250S.4"	"15"	"61.029000000000003"	"1.94"	"1.337"	"15"	"0"	"61.029000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	57012	"above"	57012	"old"
"D287"	"Blank_15.1"	"15"	"2.081"	"4.9329999999999998"	"0.59899999999999998"	"15"	"0"	"2.081"	"1"	"3"	"blank"	""	"no"	113	"below"	113	"old"
"D289"	"CD257V.2x"	"24"	"18.553999999999998"	"2.2869999999999999"	"2.0350000000000001"	"15"	"0"	"18.553999999999998"	"1"	"4"	"stool"	"Denmark"	"no"	13959	"above"	13959	"new"
"D29"	"CD025I.4"	"9"	"23.640999999999998"	"2.2410000000000001"	"1.4239999999999999"	"15"	"0"	"23.640999999999998"	"1"	"1"	"stool"	"Denmark"	"no"	20282	"above"	20282	"old"
"D290"	"CD257V.3"	"15"	"122.657"	"1.948"	"2.2250000000000001"	"15"	"0"	"122.657"	"1"	"4"	"stool"	"Denmark"	"no"	12793	"above"	12793	"old"
"D291"	"CD257V.4"	"15"	"125.5"	"1.9370000000000001"	"2.1669999999999998"	"15"	"0"	"125.5"	"1"	"4"	"stool"	"Denmark"	"no"	19230	"above"	19230	"old"
"D292"	"CD258O.2"	"15"	"184.876"	"1.9279999999999999"	"2.2000000000000002"	"15"	"0"	"184.876"	"1"	"4"	"stool"	"Denmark"	"no"	5634	"below"	5634	"old"
"D293"	"CD258O.3"	"15"	"59.899000000000001"	"1.98"	"2.097"	"15"	"0"	"59.899000000000001"	"1"	"4"	"stool"	"Denmark"	"no"	15635	"above"	15635	"old"
"D294"	"CD258O.4"	"15"	"187.93299999999999"	"1.9219999999999999"	"1.9239999999999999"	"15"	"0"	"187.93299999999999"	"1"	"4"	"stool"	"Denmark"	"no"	9761	"below"	9761	"old"
"D295"	"Mock_16.1"	"16"	"4.1909999999999998"	"2.879"	"0.95899999999999996"	"15"	"0"	"4.1909999999999998"	"1"	"4"	"mock"	""	"no"	27665	"above"	27665	"old"
"D296"	"CD259H.2"	"16"	"34.478000000000002"	"1.91"	"2.194"	"15"	"0"	"34.478000000000002"	"1"	"4"	"stool"	"Denmark"	"no"	35900	"above"	35900	"old"
"D297"	"CD259H.3"	"16"	"63.064999999999998"	"1.9379999999999999"	"2.1480000000000001"	"15"	"0"	"63.064999999999991"	"1"	"4"	"stool"	"Denmark"	"no"	25020	"above"	25020	"old"
"D298"	"CD259H.4"	"16"	"72.808999999999997"	"1.972"	"2.069"	"15"	"0"	"72.808999999999997"	"1"	"4"	"stool"	"Denmark"	"no"	23739	"above"	23739	"old"
"D299"	"CD261C.2"	"16"	"15.162000000000001"	"2.0859999999999999"	"1.2649999999999999"	"15"	"0"	"15.162000000000001"	"1"	"4"	"stool"	"Denmark"	"no"	31807	"above"	31807	"old"
"D3"	"CD003O.2"	"9"	"31.030999999999999"	"1.95"	"1.9890000000000001"	"15"	"0"	"31.030999999999999"	"1"	"1"	"stool"	"Denmark"	"no"	15334	"above"	15334	"old"
"D30"	"Mock_10.1"	"10"	"4.4569999999999999"	"2.6269999999999998"	"0.65600000000000003"	"15"	"0"	"4.4569999999999999"	"1"	"1"	"mock"	""	"no"	39579	"above"	39579	"old"
"D300"	"CD261C.3"	"16"	"50.116"	"1.9470000000000001"	"2.0449999999999999"	"15"	"0"	"50.116"	"1"	"4"	"stool"	"Denmark"	"no"	20040	"above"	20040	"old"
"D301"	"CD261C.4"	"16"	"56.511000000000003"	"1.9179999999999999"	"2.0529999999999999"	"15"	"0"	"56.511000000000003"	"1"	"4"	"stool"	"Denmark"	"no"	29344	"above"	29069	"old"
"D302"	"CD271T.2"	"16"	"21.498999999999999"	"2.0449999999999999"	"1.9419999999999999"	"15"	"0"	"21.498999999999999"	"1"	"4"	"stool"	"Denmark"	"no"	32680	"above"	32680	"old"
"D303"	"CD271T.3"	"16"	"17.811"	"2.073"	"1.879"	"15"	"0"	"17.811"	"1"	"4"	"stool"	"Denmark"	"no"	35225	"above"	35225	"old"
"D304"	"CD271T.4"	"16"	"125.971"	"1.901"	"2.004"	"15"	"0"	"125.971"	"1"	"4"	"stool"	"Denmark"	"no"	43421	"above"	43421	"old"
"D305"	"CD273F.2"	"16"	"96.623999999999995"	"1.913"	"2.1720000000000002"	"15"	"0"	"96.623999999999995"	"1"	"4"	"stool"	"Denmark"	"no"	63989	"above"	63989	"old"
"D306"	"CD273F.3"	"16"	"114.474"	"1.8919999999999999"	"2.2120000000000002"	"15"	"0"	"114.474"	"1"	"4"	"stool"	"Denmark"	"no"	34559	"above"	34559	"old"
"D307"	"CD273F.4"	"16"	"39.594999999999999"	"2.077"	"1.871"	"15"	"0"	"39.594999999999999"	"1"	"4"	"stool"	"Denmark"	"no"	29093	"above"	29093	"old"
"D308"	"CD276K.2"	"16"	"77.575999999999993"	"1.9259999999999999"	"2.0619999999999998"	"15"	"0"	"77.575999999999993"	"1"	"4"	"stool"	"Denmark"	"no"	26203	"above"	26203	"old"
"D309"	"CD276K.3"	"16"	"84.733999999999995"	"1.9139999999999999"	"2.1640000000000001"	"15"	"0"	"84.733999999999995"	"1"	"4"	"stool"	"Denmark"	"no"	18889	"above"	18889	"old"
"D31"	"CD029G.2"	"10"	"63.685000000000002"	"1.913"	"1.9330000000000001"	"15"	"0"	"63.685000000000009"	"1"	"1"	"stool"	"Denmark"	"no"	52681	"above"	52681	"old"
"D310"	"CD276K.4"	"16"	"140.55799999999999"	"1.873"	"1.6519999999999999"	"15"	"0"	"140.55799999999999"	"1"	"4"	"stool"	"Denmark"	"no"	16549	"above"	16549	"old"
"D311"	"CD279P.2"	"16"	"65.738"	"1.944"	"2.0910000000000002"	"15"	"0"	"65.738"	"1"	"4"	"stool"	"Denmark"	"no"	12104	"above"	12104	"old"
"D312"	"CD279P.3"	"16"	"98.491"	"1.9019999999999999"	"2.2149999999999999"	"15"	"0"	"98.491"	"1"	"4"	"stool"	"Denmark"	"no"	21965	"above"	21965	"old"
"D313"	"CD279P.4"	"16"	"67.650999999999996"	"1.88"	"2.0680000000000001"	"15"	"0"	"67.650999999999996"	"1"	"4"	"stool"	"Denmark"	"no"	56842	"above"	56842	"old"
"D314"	"Blank_16.2"	"16"	"1.7090000000000001"	"6.2249999999999996"	"0.53300000000000003"	"15"	"0"	"1.7090000000000001"	"1"	"4"	"blank"	""	"no"	12094	"below"	12091	"old"
"D315"	"CD280R.2"	"16"	"93.941000000000003"	"1.9039999999999999"	"2.0459999999999998"	"15"	"0"	"93.941000000000003"	"1"	"4"	"stool"	"Denmark"	"no"	28764	"above"	28764	"old"
"D316"	"CD280R.3"	"16"	"43.301000000000002"	"1.893"	"2.1640000000000001"	"15"	"0"	"43.301000000000002"	"1"	"4"	"stool"	"Denmark"	"no"	76583	"above"	76583	"old"
"D317"	"CD280R.4"	"16"	"101.36"	"1.907"	"2.137"	"15"	"0"	"101.36"	"1"	"4"	"stool"	"Denmark"	"no"	21757	"above"	21757	"old"
"D318"	"CD281K.2"	"16"	"98.894000000000005"	"1.859"	"2.29"	"15"	"0"	"98.894000000000005"	"1"	"4"	"stool"	"Denmark"	"no"	25221	"above"	25221	"old"
"D319"	"CD281K.3"	"16"	"47.024999999999999"	"1.8720000000000001"	"2.1720000000000002"	"15"	"0"	"47.024999999999999"	"1"	"4"	"stool"	"Denmark"	"no"	53559	"above"	53559	"old"
